sno,name,fee,city,area,board,type,rank,gender,private
,Pioneers international school,   ,,Chintalapalli,CBSE,Secondary School,,co-ed,private
,Kendriya vidyalaya High school,   ,,Yeddumailaram,CBSE,Secondary School,,co-ed,c-govt
,DAV BDL public school,12025,,Bhanoor,CBSE,Secondary School,,co-ed,private
,Academic Heights High school,   ,,Kistareddypet,CBSE,Secondary School,,co-ed,private
9,Army Public School,"65,875",SECUNDERABAD,Bolram,CBSE,Sr.Secondary/Higher Secondary school,AAAA+,Co-ed,Private
,St Andrews High school,"2,41,000",,bownpally,CBSE,Sr.Secondary/Higher Secondary school,AAAA+,Co-ed,Private
,Jain Heritage-A cambridge school,,,Shamirpet,CBSE,Sr.Secondary/Higher Secondary school,AAAA,Co-ed,Private
,St ANN's junior Collage for girls,,,Tarnaka,TSBIE,Junior Collage/Intermediate collage,,Girls,Private
,ISO Junior Collage,,,tarnaka,TSBIE,Junior Collage/Intermediate collage,,Co-ed,Private
,Loyola Academy Junior  Collage,,,Old Alwal,TSBIE,Junior Collage/Intermediate collage,,Co-ed,Private
,Shatiniketan International school,,,Ramakrishnapuram,"CBSIE,IB,CAIE", Secondary School,,Co-ed,Private
,Mamatha High School,,,Viman Nagar ,BSEAP, Secondary School,,Co-ed,Private
,Gowthan Model School,,,West Marredpally,BSE, Secondary School,,Co-ed,Private
,CMR International School,,,New BOWENPALLY,BSE, Secondary School,,Co-ed,Private
,Army Public school,,,rampakrishnapuram,CBSE,Sr.Secondary/Higher Secondary school,,Co-ed,GOVT
,Railway Junior collage,,,Lallaguda,CBse,Sr.Secondary/Higher Secondary school,,Co-ed,GOVT
10,Delhi public school,,Warangal,warangal,CBSE,Sr.secondary/High secondary school,AAAA+,co-ed,private
,Ekashila High school,,,punner,CBSE,secondary school,,co-ed,private
,Greenwood High school,,,Erragattuguttta,CBSE,Sr.secondary/High secondary school,,co-ed,private
,Dhruva Girls Junir college,,,L.B nagar,TSBIE,junior college/Intermediat college,,Girls,private
,sri vedha junior college,,,Hanmakonda,TSBIE,junior college/Intermediat college,,co-ed,private
,skill stock international school,,,Hanmakonda,CBSE,Sr.secondary/High secondary school,,co-ed,private
,sparkrill Navodaya vidyalaya,,,Hasanparthy,CBSE,Sr.secondary/High secondary school,,co-ed,private
,Jawar Navodaya Vidyalaya,,,Mammor,CBSE,Sr.secondary/High secondary school,AAA+,co-ed,private
,Kendriya vidyalaya ,"12,025",,Hanmakonda,CBSE,Sr.secondary/High secondary school,,co-ed,C-Govt
